make,mileage,price,body_type,drivetrain,transmission,fuel_type,passengers,is_private,car_age
VOLVO,112316.0,10.490996401073076,SUV,AWD,Automatic,Gas,7.0,0,6
MITSUBISHI,30953.0,10.067093391134142,SUV,AWD,Automatic,Regular Unleaded,5.0,0,2
MERCEDES-BENZ,85675.0,9.90323752128092,SEDAN,AWD,Automatic,Gas,5.0,0,8
RAM,24803.0,10.79728724657475,MINIVAN,FWD,Automatic,Gas,7.0,0,3
HONDA,139700.0,8.006367567650246,SEDAN,FWD,Automatic,Gas,5.0,1,11
LEXUS,114258.0,10.126551100650168,SUV,AWD,Automatic,Premium Unleaded,5.0,0,7
HONDA,34934.0,10.04316253460861,SUV,AWD,CVT,Regular Unleaded,5.0,0,4
HYUNDAI,167000.0,9.605755144230846,SUV,AWD,Automatic,Gas,5.0,1,7
MAZDA,89582.0,8.922658299524402,SEDAN,FWD,Automatic,Gas,5.0,1,10
HYUNDAI,246000.0,8.612503371220562,SEDAN,FWD,Automatic,Gas,5.0,1,8
DODGE,58843.0,10.27487868031054,SEDAN,AWD,Automatic,Gas,5.0,0,5
HYUNDAI,122000.0,8.444622498581403,HATCHBACK,FWD,Automatic,Gas,5.0,1,10
HONDA,55710.0,9.704975636343448,SEDAN,FWD,Automatic,Gas,5.0,0,5
MAZDA,85100.0,9.79784922051313,SUV,AWD,Automatic,Gas,5.0,0,4
MERCEDES-BENZ,25000.0,11.001416274292268,COUPE,AWD,Automatic,Gas,4.0,0,4
PONTIAC,211278.0,6.907755278982137,CONVERTIBLE,FWD,Automatic,Gas,4.0,1,15
MITSUBISHI,172000.0,8.850087606689566,SUV,AWD,CVT,Gas,5.0,0,12
INFINITI,127000.0,9.711115659888671,COUPE,RWD,Manual,Gas,4.0,1,12
HONDA,61835.0,9.654384962051822,HATCHBACK,FWD,Manual,Gas,5.0,0,5
CADILLAC,134000.0,8.922658299524402,SEDAN,RWD,Manual,Gas,5.0,1,13
FORD,23660.0,11.289756913343512,COUPE,RWD,Manual,Gas,4.0,0,5
SUBARU,88179.0,9.546098067659528,WAGON,AWD,CVT,Gas,5.0,0,8
MERCEDES-BENZ,108000.0,10.292145542327912,SUV,AWD,Automatic,Gas,5.0,1,7
FORD,129350.0,10.106224294072677,SUV,AWD,Automatic,Gas,5.0,0,5
KIA,205000.0,8.987071812848821,SEDAN,FWD,Automatic,Gas,5.0,1,8
KIA,35582.0,9.852088989450127,HATCHBACK,FWD,Automatic,Regular Unleaded,5.0,0,4
ACURA,72525.0,9.862665558015872,SEDAN,FWD,Automatic,Gas,5.0,0,5
LINCOLN,21265.0,10.714306651468048,SUV,AWD,Automatic,Gas,5.0,0,3
SUBARU,76000.0,10.106428396532818,SEDAN,AWD,Automatic,Gas,5.0,1,4
HONDA,6171.0,10.642563664984474,MINIVAN,FWD,Automatic,Gas,7.0,0,2
NISSAN,40230.0,10.19988156558993,SEDAN,AWD,CVT,Gas,5.0,0,3
HONDA,17292.0,9.738023112808596,SEDAN,FWD,Manual,Gas,5.0,0,4
VOLKSWAGEN,64537.0,9.546812608597396,SEDAN,FWD,Automatic,Gas,5.0,1,3
TOYOTA,63685.0,9.546455401949554,COMPACT,FWD,CVT,Gas,5.0,0,6
HYUNDAI,127500.0,9.546812608597396,SUV,AWD,Automatic,Gas,5.0,1,8
HONDA,144749.0,9.60911649193355,SEDAN,FWD,CVT,Gas,5.0,0,5
BMW,91330.0,10.542389718243678,SUV,AWD,Automatic,Gas,5.0,0,7
NISSAN,50480.0,9.95223009652412,SUV,AWD,CVT,Gas,5.0,0,5
NISSAN,224685.0,8.293799608846818,SEDAN,FWD,Automatic,Gas,5.0,0,11
NISSAN,23660.0,9.546669741249485,SUV,AWD,Automatic,Gas,5.0,0,7
HONDA,193638.0,8.691146498539675,SEDAN,FWD,Automatic,Gas,5.0,0,10
FORD,25064.0,10.0690019910137,SUV,AWD,Automatic,Gas,5.0,0,4
CHEVROLET,120380.0,10.12639107504573,COUPE,RWD,Automatic,Gas,4.0,0,4
MITSUBISHI,39633.0,9.90323752128092,SUV,AWD,Automatic,Gas,5.0,0,2
HYUNDAI,4918.0,10.23261142738757,SUV,AWD,Automatic,Gas,5.0,0,1
NISSAN,58100.0,9.259130536145614,SUV,AWD,Automatic,Gas,5.0,1,10
DODGE,90000.0,10.4341158035983,COUPE,RWD,Automatic,Gas,4.0,1,5
FORD,199854.0,10.40232156344974,SUV,AWD,Automatic,Gas,5.0,0,6
HYUNDAI,28763.0,10.121819546853116,SUV,AWD,Automatic,Gas,5.0,0,2
INFINITI,65018.0,10.203369898069226,SEDAN,AWD,Automatic,Gas,5.0,0,5
AUDI,32152.0,11.018465195290505,COUPE,AWD,Automatic,Gas,4.0,0,4
